i,j,distance
0,1,66.0521
0,2,57.0641
0,3,107.1054
0,4,133.2040
0,5,119.0457
0,6,86.6316
0,7,101.1528
0,8,110.1152
0,9,154.4793
0,10,152.1662
0,11,117.5544
0,12,83.0440
0,13,55.9473
0,14,46.7558
0,15,120.7035
0,16,76.9989
0,17,113.4610
0,18,130.8773
0,19,61.5059
0,20,146.0388
0,21,38.8275
0,22,210.9519
0,23,108.8071
0,24,134.1976
0,25,130.7945
0,26,127.4710
0,27,46.6406
0,28,88.8284
0,29,67.9564
0,30,58.1084
0,31,101.2825
0,32,177.1129
0,33,105.2144
0,34,122.1579
0,35,31.5444
0,36,25.0248
0,37,58.7659
0,38,152.4426
0,39,186.1572
0,40,159.7703
0,41,166.6256
0,42,83.1042
0,43,101.2267
0,44,44.7879
0,45,190.1309
0,46,121.5672
0,47,108.7319
0,48,100.3458
0,49,77.8713
0,50,151.8627
0,51,53.6134
0,52,50.3223
0,53,125.3564
0,54,141.9999
0,55,85.8988
0,56,94.4681
0,57,99.9744
0,58,83.7716
0,59,51.9708
0,60,170.2776
0,61,34.3189
0,62,39.3119
0,63,32.6062
0,64,51.3641
0,65,77.3312
0,66,38.9308
0,67,76.8695
0,68,163.6984
0,69,32.3739
0,70,50.3448
0,71,163.3499
0,72,44.0581
0,73,109.5148
0,74,61.6037
0,75,97.6632
0,76,148.6934
0,77,87.0269
0,78,87.0707
0,79,109.0712
0,80,87.8548
0,81,54.6444
0,82,64.9934
0,83,99.7749
0,84,119.6982
0,85,127.5664
0,86,89.1378
0,87,51.3489
0,88,88.2161
0,89,180.9411
0,90,75.9397
0,91,165.1485
0,92,30.0000
0,93,79.3875
0,94,104.9994
0,95,16.2730
0,96,155.6075
0,97,105.7866
0,98,112.8949
0,99,132.0750
1,2,11.9616
1,3,126.0626
1,4,194.3239
1,5,148.5532
1,6,116.0658
1,7,77.7248
1,8,172.7949
1,9,216.7172
1,10,214.8159
1,11,155.7355
1,12,96.9499
1,13,121.7198
1,14,31.4726
1,15,128.3046
1,16,133.9252
1,17,177.9491
1,18,152.0190
1,19,125.6154
1,20,162.8283
1,21,101.4518
1,22,249.5955
1,23,172.4753
1,24,192.5522
1,25,191.8180
1,26,184.4284
1,27,84.6206
1,28,112.4857
1,29,132.8172
1,30,113.9448
1,31,160.0931
1,32,217.6197
1,33,170.7591
1,34,99.2065
1,35,62.2885
1,36,58.2197
1,37,122.4851
1,38,194.5204
1,39,220.0671
1,40,163.0418
1,41,195.7236
1,42,111.3406
1,43,165.7211
1,44,94.7890
1,45,221.4557
1,46,142.2632
1,47,172.1007
1,48,93.8101
1,49,136.2894
1,50,177.8015
1,51,59.1876
1,52,22.5732
1,53,185.5452
1,54,172.1036
1,55,62.0391
1,56,135.7954
1,57,164.0451
1,58,77.6843
1,59,100.9823
1,60,206.3925
1,61,97.7303
1,62,62.6263
1,63,94.3994
1,64,19.4015
1,65,142.4611
1,66,33.9182
1,67,121.4292
1,68,163.9440
1,69,72.7205
1,70,33.3540
1,71,138.3402
1,72,105.9072
1,73,169.7733
1,74,127.6395
1,75,155.3908
1,76,203.4993
1,77,134.9980
1,78,152.2160
1,79,84.8721
1,80,132.8209
1,81,32.1015
1,82,128.5585
1,83,109.1228
1,84,130.6932
1,85,162.4243
1,86,121.6639
1,87,107.4721
1,88,142.4788
1,89,215.6017
1,90,130.4899
1,91,174.9694
1,92,95.1709
1,93,73.5642
1,94,164.4752
1,95,60.5146
1,96,203.1766
1,97,171.3783
1,98,174.5523
1,99,191.7896
2,3,114.9294
2,4,187.8926
2,5,136.9560
2,6,104.3031
2,7,70.8638
2,8,165.7470
2,9,209.9324
2,10,207.8671
2,11,143.8513
2,12,85.7948
2,13,113.0106
2,14,31.2815
2,15,118.1662
2,16,122.4372
2,17,167.4614
2,18,140.9382
2,19,115.1994
2,20,152.1587
2,21,90.9095
2,22,237.8260
2,23,161.7662
2,24,181.0147
2,25,185.4123
2,26,172.7942
2,27,81.5130
2,28,100.9423
2,29,122.6021
2,30,108.3845
2,31,154.2384
2,32,205.7578
2,33,160.7599
2,34,92.9376
2,35,50.5285
2,36,46.8123
2,37,111.9882
2,38,182.6018
2,39,208.4630
2,40,153.7503
2,41,184.3215
2,42,99.5907
2,43,155.2652
2,44,89.9551
2,45,209.9905
2,46,131.1460
2,47,161.3211
2,48,99.1484
2,49,130.3739
2,50,166.5305
2,51,47.5851
2,52,10.6128
2,53,179.3919
2,54,160.5698
2,55,54.4880
2,56,123.8388
2,57,156.4014
2,58,82.2669
2,59,96.5358
2,60,194.6659
2,61,90.0256
2,62,60.2643
2,63,83.8153
2,64,7.4770
2,65,134.2344
2,66,22.2867
2,67,109.4871
2,68,155.0321
2,69,61.0364
2,70,34.6135
2,71,133.1999
2,72,98.7535
2,73,158.4847
2,74,118.5294
2,75,149.8051
2,76,191.7088
2,77,131.4692
2,78,143.9914
2,79,78.4316
2,80,120.8693
2,81,21.0206
2,82,117.9896
2,83,98.5399
2,84,120.2547
2,85,150.6530
2,86,109.8310
2,87,96.0958
2,88,137.6532
2,89,203.9539
2,90,125.4613
2,91,165.0416
2,92,86.7998
2,93,77.8687
2,94,153.1113
2,95,49.8084
2,96,191.2160
2,97,162.8418
2,98,167.8783
2,99,180.3877
3,4,205.2795
3,5,27.7760
3,6,24.3274
3,7,71.5027
3,8,181.1168
3,9,219.8049
3,10,216.2237
3,11,45.5401
3,12,29.1347
3,13,127.1881
3,14,134.3934
3,15,22.6600
3,16,80.4291
3,17,132.9445
3,18,26.0334
3,19,103.3939
3,20,39.2317
3,21,93.4650
3,22,127.6466
3,23,124.1987
3,24,115.4411
3,25,203.5234
3,26,105.3565
3,27,153.5662
