i,j,distance
0,1,147.2973
0,2,134.6952
0,3,55.7964
0,4,220.1101
0,5,223.6021
0,6,86.8605
0,7,173.3747
0,8,130.7206
0,9,221.4783
0,10,157.2899
0,11,115.6962
0,12,64.4570
0,13,228.5445
0,14,191.5706
0,15,14.6270
0,16,189.8808
0,17,195.5858
0,18,126.8296
0,19,175.3622
0,20,199.6031
0,21,125.7104
0,22,135.4980
0,23,88.7646
0,24,82.3719
0,25,94.0396
0,26,166.7502
0,27,189.5281
0,28,148.9569
0,29,255.4821
0,30,79.7534
0,31,205.2846
0,32,153.5928
0,33,159.8287
0,34,119.5040
0,35,164.6437
0,36,248.8551
0,37,63.5428
0,38,89.2921
0,39,226.1352
0,40,203.1355
0,41,223.4359
0,42,88.7292
0,43,266.7423
0,44,145.6500
0,45,100.9576
0,46,159.1346
0,47,116.5868
0,48,44.4430
0,49,33.5117
0,50,268.1474
0,51,203.1508
0,52,94.0186
0,53,169.7286
0,54,67.6136
0,55,38.4197
0,56,135.6309
0,57,176.1757
0,58,58.4069
0,59,262.8361
0,60,201.9728
0,61,90.1206
0,62,180.7262
0,63,106.9506
0,64,71.9851
0,65,67.9196
0,66,174.4433
0,67,250.9903
0,68,134.4778
0,69,199.4392
0,70,59.0535
0,71,224.9630
0,72,217.2190
0,73,177.7171
0,74,180.4145
0,75,165.0185
0,76,229.0349
0,77,132.1119
0,78,29.0819
0,79,103.4134
0,80,242.5192
0,81,125.3655
0,82,190.2350
0,83,228.9222
0,84,158.8000
0,85,126.2519
0,86,56.2194
0,87,147.1809
0,88,142.1811
0,89,181.7310
0,90,223.5132
0,91,143.4158
0,92,181.2505
0,93,180.6803
0,94,117.7442
0,95,153.4583
0,96,227.8674
0,97,83.1562
0,98,174.0093
0,99,84.3895
0,100,223.3330
0,101,47.8548
0,102,207.4744
0,103,112.9314
0,104,153.6021
0,105,171.2587
0,106,163.4206
0,107,95.1223
0,108,148.0935
0,109,129.3803
0,110,176.1513
0,111,149.0236
0,112,232.6945
0,113,140.3181
0,114,221.5750
0,115,156.4355
0,116,252.5408
0,117,199.5769
0,118,63.2132
0,119,31.2063
0,120,220.3575
0,121,189.0995
0,122,145.4844
0,123,126.1983
0,124,234.9402
0,125,84.6510
0,126,160.8507
0,127,162.4780
0,128,130.4221
0,129,168.9043
0,130,19.3960
0,131,54.7197
0,132,186.7407
0,133,252.6761
0,134,163.9337
0,135,184.7264
0,136,228.6392
0,137,203.7866
0,138,199.0307
0,139,123.0569
0,140,165.9396
0,141,197.1787
0,142,191.1411
0,143,158.9282
0,144,36.4277
0,145,192.5201
0,146,120.8432
0,147,56.4929
0,148,123.6302
0,149,122.3577
1,2,117.3750
1,3,98.2199
1,4,174.5686
1,5,249.8993
1,6,171.4021
1,7,218.8166
1,8,209.0832
1,9,264.3926
1,10,232.2736
1,11,78.1281
1,12,82.8675
1,13,166.5773
1,14,216.2570
1,15,132.7923
1,16,198.6527
1,17,72.8208
1,18,21.4010
1,19,76.4038
1,20,98.8417
1,21,45.4413
1,22,33.8055
1,23,59.9744
1,24,127.7316
1,25,137.4832
1,26,228.7445
1,27,147.7108
1,28,191.2349
1,29,204.3418
1,30,165.5048
1,31,243.0124
1,32,179.3111
1,33,235.6732
1,34,61.0518
1,35,230.2397
1,36,198.1023
1,37,96.1206
1,38,176.9908
1,39,222.6286
1,40,133.9560
1,41,219.7332
1,42,62.7010
1,43,248.7111
1,44,127.2566
1,45,197.7717
1,46,130.0112
1,47,80.2809
1,48,110.7131
1,49,124.9601
1,50,244.9691
1,51,127.1775
1,52,92.8795
1,53,209.4984
1,54,83.2440
1,55,135.7539
1,56,154.7877
1,57,164.8626
1,58,101.2134
1,59,230.9295
1,60,262.3248
1,61,61.4899
