node,x,y
0,33.2467,195.7353
1,0.6745,52.0845
2,112.7371,86.9967
3,42.8759,140.7761
4,173.2690,25.9053
5,242.2156,116.1747
6,118.0588,176.9829
7,198.9337,144.6804
8,163.3832,183.3920
9,248.5891,143.9638
10,190.2527,186.2900
11,70.8945,86.3358
12,17.6282,133.1992
13,160.7727,6.0785
14,207.3367,115.7856
15,31.7817,181.1819
16,194.5224,95.5113
17,52.6869,1.1180
18,10.8854,70.8925
19,72.0060,24.7101
20,86.7091,3.4252
21,42.2832,70.3501
22,33.4821,60.2375
23,23.6258,107.4936
24,93.6210,139.6990
25,107.7367,138.3360
26,197.7185,168.2642
27,148.2183,45.0621
28,170.9940,139.0446
29,198.5011,0.8967
30,110.4952,175.9040
31,229.2316,134.6478
32,166.7277,119.7513
33,192.9080,188.4228
34,55.7760,78.3742
35,196.3669,173.3890
36,193.1034,5.0138
37,50.1638,134.4858
38,121.3987,181.5118
39,222.4244,71.8445
40,129.9852,17.1136
41,219.4778,72.2785
42,30.8661,107.0380
43,249.0379,38.9373
44,124.3432,82.0896
45,134.1790,197.9961
46,129.5720,69.0654
47,73.3214,86.2524
48,45.9101,153.1346
49,50.1834,166.8185
50,244.7232,30.8695
51,121.6400,12.8231
52,72.8956,110.4859
53,192.3534,136.6349
54,2.9333,135.2978
55,63.7054,172.3186
56,142.1484,114.8887
57,163.6083,77.2290
58,50.7835,140.0233
59,229.4867,20.8849
60,233.8510,172.2637
61,30.8768,105.6459
62,113.6821,33.8956
63,25.3439,89.0771
64,65.2759,131.2684
65,87.6709,155.1018
66,195.7436,132.2907
67,200.0224,8.1667
68,33.4091,61.2576
69,160.6504,42.2938
70,92.2821,197.1988
71,205.6016,51.1596
72,199.8369,56.3373
73,99.6769,30.9009
74,157.1893,64.6337
75,80.6681,37.6774
76,165.6792,8.8701
77,159.1240,155.6297
78,9.6714,178.7071
79,57.9722,95.3213
80,209.3655,29.0088
81,120.6708,105.8824
82,49.3877,6.1863
83,239.0942,95.5746
84,9.9074,38.6598
85,91.7664,83.8649
86,61.6404,147.2130
87,13.3527,49.9051
88,31.4834,53.5651
89,107.5465,29.8869
90,249.9900,141.1414
91,176.6617,195.2636
92,214.3335,188.0344
93,51.1356,15.9428
94,101.3912,99.7144
95,10.6362,43.9519
96,161.7353,7.5486
97,6.3591,117.0460
98,206.0484,175.2701
99,86.7403,130.4664
100,141.6597,0.4810
101,24.5283,148.6814
102,115.2703,5.1631
103,83.9279,94.8149
104,171.0894,127.9637
105,100.9763,38.4386
106,195.8103,179.0210
107,45.7482,101.4381
108,63.4473,50.7539
109,154.8589,151.5796
110,175.4681,91.8009
111,146.9282,99.3789
112,198.0557,31.4650
113,96.3825,70.4235
114,202.5760,52.8260
115,127.2606,70.7015
116,240.7201,51.7504
117,87.8549,3.7747
118,96.4062,198.3396
119,59.8495,179.4219
120,205.4365,58.2286
121,182.0062,78.9910
122,24.1506,50.5355
123,64.8768,73.5651
124,183.9773,15.5210
125,117.8458,192.7721
126,118.4844,59.3260
127,168.4660,105.6528
128,120.1471,98.4818
129,202.0635,190.2998
130,21.6680,180.1745
131,86.6811,183.9452
132,19.5258,9.4994
133,239.5251,49.8092
134,139.3886,70.8027
135,217.6434,184.7041
136,216.1213,58.5028
137,199.5819,78.0001
138,189.7136,72.7259
139,105.8417,96.3725
140,182.3227,122.8498
141,230.3824,199.8528
142,221.4237,162.2043
143,51.8148,37.8955
144,25.0342,160.2454
145,191.8549,86.6141
146,116.3833,108.0348
147,88.2084,182.6715
148,80.5071,81.4949
149,31.8249,73.3859
