node,x,y
0,83.2203,131.7512
1,93.8213,196.9470
2,99.5292,186.4351
3,188.8668,114.1332
4,4.1712,24.5386
5,193.4262,86.7340
6,165.9376,106.0046
7,170.3186,183.1883
8,24.1512,38.8200
9,0.0823,1.5516
10,4.1475,1.7433
11,182.6384,69.0210
12,166.2608,132.5125
13,66.8442,78.2543
14,69.8492,176.5543
15,203.9219,131.0689
16,124.0725,66.4831
17,95.9904,19.0111
18,209.8683,98.7489
19,94.7466,71.3350
20,226.2351,102.1861
21,97.2671,95.5537
22,249.3241,1.7118
23,102.6870,24.6997
24,139.3449,9.8536
25,4.9609,26.9530
26,143.1162,19.2286
27,36.6636,134.5479
28,170.3607,114.5167
29,90.3899,64.1741
30,34.9633,99.3808
31,13.0281,58.7361
32,220.8012,20.2143
33,82.9026,26.5373
34,192.4668,186.4116
35,114.1271,138.0612
36,106.7801,140.1878
37,96.4323,74.4897
38,200.3613,34.1974
39,241.5391,33.8244
40,242.9894,131.1329
41,233.5603,59.9042
42,163.4436,110.0594
43,95.1618,31.2313
44,40.3908,118.6518
45,249.3698,39.3168
46,201.5979,104.0867
47,104.9051,25.2036
48,0.4005,188.4095
49,26.4012,78.5015
50,224.7233,76.6223
51,132.7230,152.3395
52,104.7885,177.2171
53,4.0305,34.5751
54,211.9279,71.7652
55,153.7268,180.8169
56,161.8819,79.4389
57,37.3022,42.9457
58,17.3159,183.4647
59,33.7710,115.7596
60,225.2283,37.7928
61,62.5515,104.3543
62,49.7813,152.4214
63,97.8985,102.6357
64,102.2365,179.4655
65,53.9027,60.1929
66,104.0846,164.6189
67,145.9005,87.2528
68,246.7996,137.9956
69,115.3104,127.4741
70,65.7323,178.9610
71,232.1483,198.8604
72,53.9290,98.8402
73,122.9225,29.6864
74,71.3939,71.2933
75,12.1850,64.7282
76,160.3635,4.6345
77,3.6689,96.4631
78,50.8390,50.9257
79,177.9582,185.7999
80,152.5827,77.8316
81,116.9816,174.7185
82,97.9789,68.4557
83,182.9695,134.0154
84,202.7087,124.6680
85,194.6084,69.5751
86,166.1776,99.1377
87,115.2779,91.6386
88,11.1130,80.9317
89,236.0876,34.9458
90,20.4154,89.0619
91,247.2912,112.9156
92,70.0677,104.7881
93,21.7851,182.0313
94,125.1331,35.4798
95,98.7438,136.6329
96,188.5333,17.1961
97,50.7776,31.0622
98,17.4698,39.9790
99,131.9047,8.9765
